,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
460,S0NM00058,BEN LUJAN,LUJAN,DEM,41029,28586,7842,3554,1047,19835,10321,6672,4201,31943,1731,1481,304,42,1,5527,75820.3867,NM-SEN,0.48343854346925347,0.7785468814740794,0.6967267055009871
462,S0OK00370,ABBY BROYLES,BROYLES,DEM,2031,1632,273,96,30,1155,460,266,150,1588,87,37,20,2,0,297,81507.5805,OK-SEN,0.568685376661743,0.7818808468734614,0.8035450516986706
463,S0SC00149,LINDSEY GRAHAM,GRAHAM,REP,110191,62963,27464,14727,5037,47400,30252,21038,11501,91437,4964,1522,607,63,0,11599,72014.6909,SC-SEN,0.43016217295423403,0.8298046119919049,0.5713987530742075
464,S0SC00289,JAIME HARRISON,HARRISON,DEM,378687,285325,63276,23840,6246,199515,90404,54677,34091,288899,15336,15224,2585,104,2,56539,78761.7893,SC-SEN,0.5268599133321186,0.762896534605096,0.753458661110627
465,S0TN00169,BILL HAGERTY,HAGERTY,REP,2444,1535,547,284,78,1202,584,426,232,2018,113,43,20,1,0,249,79389.5752,TN-SEN,0.4918166939443535,0.82569558101473,0.6280687397708674
466,S0TX00233,MARY HEGAR,HEGAR,DEM,29513,23358,4193,1577,385,16838,6859,3598,2218,23576,983,605,291,9,0,4049,82463.8159,TX-SEN,0.5705282417917528,0.7988344119540541,0.7914478365466066
467,S0TX00266,ROYCE WEST,WEST,DEM,1432,1079,226,100,27,665,365,213,189,1011,77,125,11,0,0,208,75452.5865,TX-SEN,0.4643854748603352,0.7060055865921788,0.7534916201117319
468,S0TX00290,SEMA HERNANDEZ,HERNANDEZ,DEM,1257,833,280,99,45,519,323,244,171,863,106,59,25,0,0,204,70422.3611,TX-SEN,0.4128878281622912,0.6865552903739062,0.6626889419252188
470,S0VA00146,DANIEL GADE,GADE,REP,1186,791,257,94,44,554,350,180,102,995,51,16,5,0,0,119,76056.543,VA-SEN,0.4671163575042159,0.8389544688026982,0.6669477234401349
472,S0WY00129,YANA LUDWIG,LUDWIG,DEM,1039,751,175,84,29,507,219,182,131,775,48,31,4,0,0,181,74687.1838,WY-SEN,0.4879692011549567,0.7459095283926853,0.7228103946102021
475,S2KY00012,MITCH MCCONNELL,MCCONNELL,REP,164452,95576,40365,21544,6967,71283,45122,30967,17080,135929,7242,2386,913,103,1,17879,72503.9341,KY-SEN,0.43345778707464794,0.8265572933135504,0.5811787026001508
477,S2MT00096,STEVEN DAINES,DAINES,REP,52870,29918,13377,7187,2388,23154,14426,9778,5512,42327,2932,742,362,24,0,6483,72660.5837,MT-SEN,0.4379421221864952,0.8005863438623038,0.5658785700775487
480,S2TX00106,JOHN CORNYN,CORNYN,REP,14914,9432,3331,1637,514,6968,3938,2624,1384,12444,588,243,102,8,0,1529,75933.5864,TX-SEN,0.46721201555585357,0.8343838004559474,0.6324259085423093
484,S4AK00214,DAN SULLIVAN,SULLIVAN,REP,7705,5137,1597,730,241,3924,1927,1186,668,6396,309,109,56,3,0,832,79638.5081,AK-SEN,0.509279688513952,0.8301103179753407,0.6667099286177807
485,S4AR00103,THOMAS COTTON,COTTON,REP,24403,15689,5382,2572,760,11751,6444,4075,2133,20196,1030,336,160,9,1,2671,76097.8244,AR-SEN,0.4815391550219235,0.8276031635454657,0.6429127566282834
486,S4CO00395,CORY GARDNER,GARDNER,REP,40904,23870,9946,5269,1819,18015,11035,7588,4266,33620,1913,593,216,20,0,4542,73452.3066,CO-SEN,0.44042147467240367,0.8219245061607666,0.5835615098767847
487,S4GA11285,DAVID PERDUE,PERDUE,REP,10421,6622,2321,1078,400,5034,2626,1795,966,8537,474,126,95,5,0,1184,77692.6897,GA-SEN,0.48306304577295844,0.8192112081374149,0.6354476537760292
488,S4IA00129,JONI ERNST,ERNST,REP,68385,39862,16957,8752,2814,29852,18827,12866,6840,57116,2905,919,323,32,0,7090,72653.8362,IA-SEN,0.4365284784675002,0.8352124003802003,0.5829056079549609
490,S4LA00107,WILLIAM CASSIDY,CASSIDY,REP,6164,4125,1242,607,190,3139,1507,945,573,5103,261,81,31,2,0,686,78942.9897,LA-SEN,0.5092472420506164,0.8278715120051914,0.6692083062946139
491,S4MA00028,EDWARD MARKEY,MARKEY,DEM,17845,14085,2596,920,244,9455,4087,2532,1771,13267,901,595,147,3,0,2932,80221.9015,MA-SEN,0.5298402913981507,0.7434575511347716,0.7892967217708041
492,S4MI00355,GARY PETERS,PETERS,DEM,62829,49605,9084,3313,827,35573,14338,8081,4837,49084,2299,1685,523,15,1,9222,82405.4768,MI-SEN,0.5661875885339572,0.781231596874055,0.7895239459485269
493,S4NC00162,THOM TILLIS,TILLIS,REP,41143,23798,10138,5359,1848,18063,11245,7465,4370,33868,1980,587,213,21,0,4474,73104.5293,NC-SEN,0.4390297255912306,0.8231776972996622,0.5784216027027684
