,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
265,H4MT00050,MATT ROSENDALE,ROSENDALE,REP,2767,1793,647,244,83,1178,863,485,241,2327,120,28,26,2,0,264,74640.0578,MT-AL,0.4257318395374051,0.8409830140946873,0.6479942175641489
266,H4NC05146,VIRGINIA FOXX,FOXX,REP,5584,3442,1307,619,216,2579,1489,986,530,4636,266,71,38,4,0,569,74485.0777,NC-05,0.46185530085959886,0.8302292263610315,0.6164040114613181
267,H4NJ01084,DONALD NORCROSS,NORCROSS,DEM,1014,622,329,40,23,735,185,64,30,923,14,17,1,0,0,59,86922.6469,NJ-01,0.7248520710059172,0.9102564102564102,0.6134122287968442
268,H4NY21079,ELISE STEFANIK,STEFANIK,REP,80218,47449,19764,9828,3177,36615,21497,14692,7414,66784,3430,970,429,39,0,8566,73838.6422,NY-21,0.45644369094218257,0.8325313520656212,0.5915006606995936
270,H4NY24073,JOHN KATKO,KATKO,REP,6462,3889,1577,764,232,2995,1688,1188,591,5255,323,118,46,4,0,716,73980.3681,NY-24,0.46347879913339524,0.8132157226864748,0.6018260600433303
271,H4TX10093,MICHAEL MCCAUL,MCCAUL,REP,7624,4635,1806,899,284,3634,2006,1305,679,6063,420,111,49,4,0,977,75639.4525,TX-10,0.4766526757607555,0.7952518363064008,0.6079485834207765
272,H4VA08224,DONALD BEYER,BEYER,DEM,2084,1982,72,25,5,1816,160,77,31,1644,16,15,2,0,0,407,115047.5,VA-08,0.8714011516314779,0.7888675623800384,0.9510556621880998
273,H4WA05077,CATHY MCMORRIS RODGERS,MCMORRIS RODGERS,REP,8600,4914,2386,1012,288,3628,2589,1631,752,7297,368,87,44,4,0,800,72383.5291,WA-05,0.42186046511627906,0.8484883720930233,0.5713953488372093
274,H6AK00045,DONALD YOUNG,YOUNG,REP,7187,4249,1792,873,273,3348,1961,1234,644,5827,361,115,45,15,0,824,74410.8131,AK-AL,0.46584110198970363,0.8107694448309447,0.5912063447892028
275,H6AZ01199,TOM O'HALLERAN,O'HALLERAN,DEM,4265,3189,670,297,109,1952,1108,745,460,3462,177,85,24,27,0,490,75307.8989,AZ-01,0.45767878077373975,0.8117233294255568,0.7477139507620164
276,H6CA22125,KEVIN MCCARTHY,MCCARTHY,REP,89171,48608,23211,13021,4331,37065,24688,17476,9942,73331,4199,1222,531,43,0,9845,70867.7671,CA-23,0.4156620425923226,0.822363772975519,0.5451099572731045
277,H6CO01141,DIANA DEGETTE,DEGETTE,DEM,1520,1348,113,47,12,709,590,169,52,1301,74,3,1,0,0,141,75005.9256,CO-01,0.4664473684210526,0.8559210526315789,0.8868421052631579
278,H6CO03139,SCOTT TIPTON,TIPTON,REP,4746,3012,1084,507,143,2213,1304,794,435,3979,200,60,31,0,0,476,74150.8885,CO-03,0.4662873999157185,0.8383902233459756,0.6346396965865992
279,H6CO07023,EDWIN PERLMUTTER,PERLMUTTER,DEM,1108,924,127,48,9,598,354,139,17,1019,49,3,0,0,0,37,74855.8907,CO-07,0.5397111913357401,0.9196750902527075,0.8339350180505415
280,H6DE00206,LISA BLUNT ROCHESTER,BLUNT ROCHESTER,DEM,1397,1061,229,105,2,729,454,120,94,1157,9,95,0,0,0,136,80552.6585,DE-AL,0.521832498210451,0.8282032927702219,0.7594846098783107
281,H6FL01119,MATT GAETZ,GAETZ,REP,2356,1493,538,246,79,994,675,473,214,2035,84,19,11,0,0,207,72937.3455,FL-01,0.4219015280135823,0.8637521222410866,0.6337011884550084
282,H6FL02208,NEAL DUNN,DUNN,REP,2314,1389,558,280,87,1061,651,388,214,1879,124,41,18,1,0,251,74059.5073,FL-02,0.4585133967156439,0.8120138288677614,0.6002592912705272
283,H6FL07140,STEPHANIE MURPHY,MURPHY,DEM,1148,1013,92,41,2,610,302,175,61,994,28,8,0,0,0,118,79208.6524,FL-07,0.5313588850174216,0.8658536585365854,0.882404181184669
284,H6FL13148,VERNON BUCHANAN,BUCHANAN,REP,3106,2038,657,327,84,1401,862,570,273,2585,142,42,17,1,0,319,73559.7025,FL-16,0.4510624597553123,0.8322601416613007,0.656149388280747
285,H6FL13205,CHARLIE CRIST,CRIST,DEM,2054,1447,454,133,20,669,622,445,318,1641,123,89,0,0,0,201,66503.8846,FL-13,0.3257059396299903,0.7989289191820838,0.7044790652385589
286,H6FL18097,BRIAN MAST,MAST,REP,13126,7959,3101,1618,448,5491,3740,2645,1250,10878,617,192,58,8,0,1373,71179.6029,FL-18,0.4183300319975621,0.8287368581441414,0.606353801615115
287,H6GA03113,ANDERSON FERGUSON,FERGUSON,REP,3130,1827,787,405,111,1341,802,625,362,2609,108,73,9,2,0,329,71550.4345,GA-03,0.42843450479233225,0.8335463258785942,0.58370607028754
288,H6GA05217,JOHN LEWIS,LEWIS,DEM,57722,40900,10982,4523,1317,27586,14645,9440,6051,43944,2415,2736,407,28,2,8190,75133.746,GA-05,0.4779113682824573,0.7613041821142719,0.7085686566647033
289,H6IL08147,RAJA KRISHNAMOORTHI,KRISHNAMOORTHI,DEM,11684,8984,1719,782,199,7160,2331,1311,882,9131,391,420,95,8,0,1639,84168.108,IL-08,0.6128038343033207,0.781496062992126,0.7689147552208148
290,H6IN03229,JAMES BANKS,BANKS,REP,2560,1514,623,325,98,1160,709,460,231,2097,124,40,17,1,0,281,74092.7285,IN-03,0.453125,0.819140625,0.59140625
291,H6LA03148,CLAY HIGGINS,HIGGINS,REP,2817,1648,668,379,122,1227,777,532,281,2301,141,62,19,1,0,293,72160.3613,LA-03,0.4355697550585729,0.8168264110756124,0.5850195243166489
293,H6MD07160,ELIJAH CUMMINGS,CUMMINGS,DEM,2304,1796,338,127,43,1334,466,297,207,1611,69,223,6,2,0,393,82811.9509,MD-07,0.5789930555555556,0.69921875,0.7795138888888888
294,H6MD08457,JAMIE RASKIN,RASKIN,DEM,1421,1370,35,13,3,1303,64,32,22,1047,9,22,1,0,0,342,122007.09,MD-08,0.9169598874032372,0.7368050668543279,0.9641097818437719
295,H6MI01226,JOHN BERGMAN,BERGMAN,REP,6158,3725,1498,712,223,2722,1688,1151,597,5136,253,94,40,1,0,634,73384.1776,MI-01,0.4420266320233842,0.8340370250081195,0.6049041896719715
296,H6MI04113,FREDERICK UPTON,UPTON,REP,7732,4626,1844,980,282,3395,2169,1411,757,6374,353,135,47,3,0,820,73205.9789,MI-06,0.4390843248836006,0.8243662700465597,0.5982928091050181
297,H6MN02131,ANGELA CRAIG,CRAIG,DEM,10030,8526,1148,284,72,5952,2550,1051,477,8599,193,142,52,1,0,1043,83369.2515,MN-02,0.593419740777667,0.8573280159521436,0.850049850448654
298,H6MS01131,JOHN KELLY,KELLY,REP,2500,1421,646,331,102,1086,641,488,285,2033,121,71,17,1,0,257,72654.098,MS-01,0.4344,0.8132,0.5684
299,H6NE02125,DONALD BACON,BACON,REP,7863,4796,1877,908,282,3541,2212,1410,700,6500,376,124,44,5,0,814,73547.0794,NE-02,0.4503370214930688,0.8266564924329136,0.6099453134935775
300,H6NJ05171,JOSH GOTTHEIMER,GOTTHEIMER,DEM,3458,3230,182,39,7,2957,310,120,71,2943,64,22,9,0,0,420,113591.8571,NJ-05,0.8551185656448814,0.85106998264893,0.9340659340659341
301,H6NV04020,SUSIE LEE,LEE,DEM,6967,5295,1091,462,119,3898,1690,806,573,5354,273,137,39,1,0,1163,81413.4291,NV-03,0.5594947610162193,0.7684799770345917,0.7600114827041768
302,H6OH04082,JAMES JORDAN,JORDAN,REP,48681,27011,12575,6836,2259,20445,13623,9517,5096,40522,2117,630,227,28,0,5158,71323.1954,OH-04,0.41997904726690083,0.8323986771019495,0.554857131118917
303,H6OH08315,WARREN DAVIDSON,DAVIDSON,REP,2919,1666,772,371,110,1290,846,510,273,2387,143,55,18,2,0,314,73185.6447,OH-08,0.4419321685508736,0.8177458033573142,0.5707434052757794
304,H6OR03064,EARL BLUMENAUER,BLUMENAUER,DEM,2148,1691,349,86,22,947,746,291,164,2015,23,9,7,2,0,92,72675.8887,OR-03,0.4408752327746741,0.9380819366852886,0.787243947858473
305,H6OR04047,PETER DEFAZIO,DEFAZIO,DEM,7366,4620,1768,835,143,2025,2287,1781,1273,6667,155,58,26,2,0,458,64196.5832,OR-04,0.2749117567200652,0.9051045343469998,0.6272060819983709
306,H6PA08277,BRIAN FITZPATRICK,FITZPATRICK,REP,8365,5263,1876,939,287,4216,2090,1340,719,7001,362,121,47,4,0,830,77158.8745,PA-01,0.5040047818290496,0.8369396294082486,0.62916915720263
307,H6TX02079,BRIAN BABIN,BABIN,REP,3280,1897,734,481,168,1453,898,592,337,2676,171,52,21,1,0,359,73742.1722,TX-36,0.4429878048780488,0.8158536585365853,0.5783536585365854
308,H6TX12060,KAY GRANGER,GRANGER,REP,6020,3874,1334,598,214,2844,1701,991,484,4956,289,74,37,4,0,660,77118.1192,TX-12,0.47242524916943524,0.8232558139534883,0.6435215946843854
309,H6VT00160,PETER WELCH,WELCH,DEM,8530,6101,1596,646,187,3763,2236,1474,1057,6190,501,290,93,4,0,1453,72171.7501,VT-AL,0.4411488862837046,0.7256740914419695,0.7152403282532239
310,H6WA07458,PRAMILA JAYAPAL,JAYAPAL,DEM,16649,12430,2774,1132,313,8367,4193,2452,1637,12610,777,445,154,9,0,2655,75494.6931,WA-07,0.5025527058682203,0.7574028470178389,0.7465913868700823
311,H6WI03099,RONALD KIND,KIND,DEM,1656,1152,349,139,16,609,449,514,84,1538,17,19,1,0,0,81,70310.0507,WI-03,0.3677536231884058,0.928743961352657,0.6956521739130435
